State,SL_NO,PC_No,PC_Name,Electors_Total,Voters_Male,Voters_Female,Voters_TG,Voters_Total,Voters_NRI,Postal_Votes,Total_Voters,Turnout_Percent,Turnout_Male,Turnout_Female,Turnout_TG
Tamil Nadu,378.,20,Coimbatore,1958904,634627,610981,36,1245644,0,5285,1250929,63.86,64.86,62.33,16.9
Tamil Nadu,379.,21,Pollachi,1520504,536887,540497,36,1077420,0,4468,1081888,71.15,71.99,69.79,20.81
Tamil Nadu,380.,22,Dindigul,1541881,568983,586609,15,1155607,0,5324,1160931,75.29,75.38,74.55,9.49
Tamil Nadu,381.,23,Karur,1387286,532989,564924,34,1097947,0,5698,1103645,79.55,78.49,79.77,50.75
Tamil Nadu,382.,24,Tiruchirappalli,1508963,513314,527326,71,1040711,0,8068,1048779,69.5,69.38,68.58,47.97
Tamil Nadu,383.,25,Perambalur,1391853,524468,570254,32,1094754,0,8406,1103160,79.26,77.21,80.04,39.02
Tamil Nadu,384.,26,Cuddalore,1364038,505581,533135,25,1038741,0,4639,1043380,76.49,75.01,77.28,27.47
Tamil Nadu,385.,27,Chidambaram,1480222,553860,595522,3,1149385,0,4872,1154257,77.98,75.07,80.22,5.08
Tamil Nadu,386.,28,Mayiladuthurai,1484842,529933,562966,18,1092917,0,4863,1097780,73.93,72.08,75.11,36
Tamil Nadu,387.,29,Nagapattinam,1303649,476344,521489,10,997843,0,5077,1002920,76.93,74.03,78.99,25
Tamil Nadu,388.,30,Thanjavur,1461052,495980,556575,15,1052570,0,7482,1060052,72.55,69.69,74.29,15.46
Tamil Nadu,389.,31,Sivaganga,1552019,495947,585207,13,1081167,0,3739,1084906,69.9,64.63,74.59,19.7
Tamil Nadu,390.,32,Madurai,1539026,500312,511142,46,1011500,0,5622,1017122,66.09,65.94,65.52,47.92
Tamil Nadu,391.,33,Theni,1561040,571213,596677,29,1167919,0,7089,1175008,75.27,73.66,75.97,15.85
Tamil Nadu,392.,34,Virudhunagar,1484256,520544,544786,12,1065342,0,10584,1075926,72.49,71.53,72.02,9.23
Tamil Nadu,393.,35,Ramanathapuram,1559740,491515,569601,8,1061124,0,5799,1066923,68.4,63.21,72.83,9.76
Tamil Nadu,394.,36,Thoothukkudi,1427783,478152,507621,36,985809,0,6158,991967,69.48,68.04,70.02,31.03
Tamil Nadu,395.,37,Tenkasi,1492317,506970,548621,4,1055595,0,10413,1066008,71.43,68.9,72.53,5.13
Tamil Nadu,396.,38,Tirunelveli,1547800,499295,533224,11,1032530,0,7860,1040390,67.22,65.71,67.68,16.18
Tamil Nadu,397.,39,Kanniyakumari,1501250,510999,531602,24,1042625,0,6802,1049427,69.9,67.16,71.81,15.09
Telangana,398.,1,Adilabad,1489790,523054,539832,9,1062895,0,1082,1063977,71.42,71.49,71.21,16.07
Telangana,399.,2,Peddapalle,1479091,484439,484738,21,969198,0,967,970165,65.59,65.41,65.65,25.3
Telangana,400.,3,Karimnagar,1651543,558800,588108,7,1146915,0,1286,1148201,69.52,68.49,70.38,20.59
Telangana,401.,4,Nizamabad,1553385,474024,587594,4,1061622,0,1560,1063182,68.44,64.22,72.07,13.79
Telangana,402.,5,Zahirabad,1498666,514518,529323,2,1043843,0,661,1044504,69.7,69.7,69.61,3.28
Telangana,403.,6,Medak,1603318,581947,567533,10,1149490,0,841,1150331,71.75,72.82,70.58,24.39
Telangana,404.,7,Malkajgiri,3150313,823072,738294,34,1561400,0,2246,1563646,49.63,50.25,48.83,9.74
Telangana,405.,8,Secundrabad,1968276,488024,426124,6,914154,0,1109,915263,46.5,47.61,45.18,10.17
Telangana,406.,9,Hyderabad,1957931,479564,397698,5,877267,0,674,877941,44.84,47.36,42.07,3.79
Telangana,407.,10,CHEVELLA,2443112,678645,620290,18,1298953,0,2045,1300998,53.25,53.67,52.64,7.83
Telangana,408.,11,Mahbubnagar,1506102,494155,489732,4,983891,0,876,984767,65.39,65.7,64.95,10.26
Telangana,409.,12,Nagarkurnool,1588111,502620,486427,1,989048,0,845,989893,62.33,62.95,61.61,2.56
Telangana,410.,13,Nalgonda,1585980,585803,588944,3,1174750,0,1234,1175984,74.15,74.66,73.5,11.11
Telangana,411.,14,Bhongir,1628033,616922,594332,2,1211256,0,1521,1212777,74.49,75.32,73.47,6.67
Telangana,412.,15,Warangal,1666770,530268,530078,66,1060412,0,1260,1061672,63.7,63.92,63.33,36.26
Telangana,413.,16,Mahabubabad,1424385,485104,497622,8,982734,0,973,983707,69.06,69.01,68.98,17.02
Telangana,414.,17,Khammam,1513809,559568,578825,32,1138425,0,1423,1139848,75.3,75.59,74.84,48.48
Tripura,415.,1,Tripura West,1352857,559005,542353,4,1101362,0,7065,1108427,81.93,81.32,81.51,40
Tripura,416.,2,Tripura East,1261861,529358,511554,1,1040913,0,5210,1046123,82.9,82.52,82.46,25
Uttar Pradesh,417.,1,Saharanpur,1739082,663829,565077,9,1228915,0,3523,1232438,70.87,71.32,69.92,10.98
Uttar Pradesh,418.,2,Kairana,1666703,606832,514021,10,1120863,0,3350,1124213,67.45,67.41,67.07,10.75
Uttar Pradesh,419.,3,Muzaffarnagar,1698003,624979,529210,3,1154192,0,7582,1161774,68.42,67.84,68.14,2.7
Uttar Pradesh,420.,4,Bijnor,1664125,585728,510581,4,1096313,0,5653,1101966,66.22,65.39,66.45,5
Uttar Pradesh,421.,5,Nagina,1586117,515070,490879,6,1005955,0,3830,1009785,63.66,61.04,66.14,10
Uttar Pradesh,422.,6,Moradabad,1958939,691615,588042,12,1279669,0,2596,1282265,65.46,65.94,64.62,12.37
Uttar Pradesh,423.,7,Rampur,1679506,565546,494611,4,1060161,0,1077,1061238,63.19,62.66,63.68,2.45
